date,open,high,low,close,volume,return_1d,log_return_1d,return_3d,log_return_3d,return_5d,log_return_5d,return_10d,log_return_10d,return_20d,log_return_20d,return_50d,log_return_50d,volatility_5d,realized_vol_5d,volatility_10d,realized_vol_10d,volatility_20d,realized_vol_20d,ma_5,ma_5_ratio,ma_5_slope,ma_10,ma_10_ratio,ma_10_slope,ma_20,ma_20_ratio,ma_20_slope,ma_50,ma_50_ratio,ma_50_slope,ma_200,ma_200_ratio,ma_200_slope,rsi_14,rsi_30,atr_14,atr_30,high_20,low_20,price_position_20,high_50,low_50,price_position_50,volume_ma_10,volume_ratio_10,volume_ma_20,volume_ratio_20,volume_ma_50,volume_ratio_50,high_low_ratio,close_open_ratio,momentum_5d,momentum_10d,momentum_20d,target_return_1d,target_direction
2020-07-17 00:00:00-04:00,195.2128812655641,195.75706766321048,192.2723226107304,193.6948699951172,31635300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0181240076843259,0.9922238160688698,0.0,0.0,0.0,0.04224391125973754,1
2020-07-20 00:00:00-04:00,195.71891104746396,202.6884166471381,193.81900027624175,202.0201110839844,36884800,0.042981216224658336,0.04208316648413329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0457613358765403,1.0321951517244663,0.0,0.0,0.0,-0.020874084191351363,-1
2020-07-21 00:00:00-04:00,203.9868433576055,204.2541655805475,198.61172913665365,199.29913330078125,37990400,-0.013468846089644937,-0.013560373774468152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0284093818044935,0.9770195470469323,0.0,0.0,0.0,-0.009608272300483318,-1
2020-07-22 00:00:00-04:00,199.72880481543083,202.68846314720844,198.95547858865567,202.16336059570312,49605700,0.014371498999943944,0.01426920789438567,0.043720778979843056,0.04279200060405092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.018762914120454,1.0121893073085881,0.0,0.0,0.0,-0.03267527461821534,-1
2020-07-23 00:00:00-04:00,197.8097560725141,201.3708813021191,192.9979270791903,193.37026977539065,67457000,-0.04349497749939646,-0.04446923920019099,-0.042816733750818514,-0.04376040508027333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.10954895019532,0.9760774823832641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0433836484652668,0.9775567879700737,0.0,0.0,0.0,0.0052390121452179075,1
2020-07-24 00:00:00-04:00,191.3462679706825,193.6758027739354,188.56801058313243,192.1864318847656,39827000,-0.006122129797926812,-0.006140946874257557,-0.03568857173744555,-0.03634097818006278,-0.007787702949435982,-0.007818185470397629,0.0,0.0,0.0,0.0,0.0,0.0,0.03224148834814063,0.5118177604066009,0.0,0.0,0.0,0.0,197.807861328125,0.9715813648374948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.027087267744977,1.004390803766352,-0.007787702949435982,0.0,0.0,0.010621869323086806,1
2020-07-27 00:00:00-04:00,192.34873339252303,194.73554944735852,191.7663496924244,194.62098693847656,30160900,0.01266767393429058,0.012588110173466449,-0.03730831162977255,-0.038022075900982014,-0.03662568100673824,-0.037313241781064384,0.0,0.0,0.0,0.0,0.0,0.0,0.023546970219815912,0.37379656398406097,0.0,0.0,0.0,0.0,196.32803649902343,0.9913051157084467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0154834242801016,1.0118131973415005,-0.03662568100673824,0.0,0.0,-0.005451541833908435,-1
2020-07-28 00:00:00-04:00,194.39183650307967,195.43248474859328,192.60650285545827,192.8738250732422,23251400,-0.008977253135535102,-0.009017791470101195,-0.002567326935650982,-0.0025706281708921695,-0.03223951916460177,-0.03277065947669746,0.0,0.0,0.0,0.0,0.0,0.0,0.023333176967525106,0.37040270131878994,0.0,0.0,0.0,0.0,195.04297485351563,0.9888786059487528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0146723077945907,0.9921909713023703,-0.03223951916460177,0.0,0.0,-0.007407620485523049,-1
2020-07-29 00:00:00-04:00,193.33210127421285,195.384757263023,192.86428008098164,194.82147216796875,19632600,0.010098037377477054,0.010047392852873102,0.013710854909794623,0.013617711556238334,-0.036316612496450684,-0.03699247451821011,0.0,0.0,0.0,0.0,0.0,0.0,0.0224476419530489,0.35634526876552586,0.0,0.0,0.0,0.0,193.57459716796876,1.0064413152254583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0130686573013055,1.0077036916473765,-0.036316612496450684,0.0,0.0,0.016915506762654953,1
2020-07-30 00:00:00-04:00,191.89997044030477,195.2033295752021,190.5347189367611,194.66867065429688,25079600,-0.0007843155683585623,-0.0007846233047327546,0.00024500808761906967,0.00024497807803919677,0.006714583790023099,0.00669214137724813,0.0,0.0,0.0,0.0,0.0,0.0,0.009639172679126588,0.15301712252026292,0.0,0.0,0.0,0.0,193.83427734375,1.0043046736726917,-0.02158034092299171,195.97191314697267,0.9933498506405946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36152470.0,0.6937174693734619,0.0,0.0,0.0,0.0,1.0245026768060603,1.0144278303307679,0.006714583790023099,0.0,0.0,0.03483364595280452,1
