date,open,high,low,close,volume
2020-07-17 00:00:00-04:00,195.2128812655641,195.75706766321048,192.2723226107304,193.6948699951172,31635300
2020-07-20 00:00:00-04:00,195.71891104746396,202.6884166471381,193.81900027624175,202.0201110839844,36884800
2020-07-21 00:00:00-04:00,203.9868433576055,204.2541655805475,198.61172913665365,199.29913330078125,37990400
2020-07-22 00:00:00-04:00,199.72880481543083,202.68846314720844,198.95547858865567,202.16336059570312,49605700
2020-07-23 00:00:00-04:00,197.8097560725141,201.3708813021191,192.9979270791903,193.37026977539065,67457000
2020-07-24 00:00:00-04:00,191.3462679706825,193.6758027739354,188.56801058313243,192.1864318847656,39827000
2020-07-27 00:00:00-04:00,192.34873339252303,194.73554944735852,191.7663496924244,194.62098693847656,30160900
2020-07-28 00:00:00-04:00,194.39183650307967,195.43248474859328,192.60650285545827,192.8738250732422,23251400
2020-07-29 00:00:00-04:00,193.33210127421285,195.384757263023,192.86428008098164,194.82147216796875,19632600
2020-07-30 00:00:00-04:00,191.89997044030477,195.2033295752021,190.5347189367611,194.66867065429688,25079600
2020-07-31 00:00:00-04:00,195.14605568804103,195.81437577226183,190.0000813609404,195.7284393310547,51044000
2020-08-03 00:00:00-04:00,201.94370430096453,207.7866243997969,200.9125981832941,206.7364196777344,78983000
2020-08-04 00:00:00-04:00,204.473708640176,205.04655018773855,200.78846492303623,203.633544921875,49280100
2020-08-05 00:00:00-04:00,205.1706786313202,205.2661570897117,201.9914528320211,203.29942321777344,28806400
2020-08-06 00:00:00-04:00,202.72660666170316,206.57415300938985,201.97237919186563,206.55506896972656,32656800
2020-08-07 00:00:00-04:00,205.12295603956983,205.93446467221509,201.38041603878312,202.86024475097656,27820400
2020-08-10 00:00:00-04:00,202.08689343008143,202.28739234240723,197.00775761076105,198.8217315673828,36716500
2020-08-11 00:00:00-04:00,197.7811054902633,198.248912057752,193.94310165251605,194.1722412109375,36446500
2020-08-12 00:00:00-04:00,195.99575127842635,200.75984065200336,195.48020549800736,199.7191925048828,28013100
2020-08-13 00:00:00-04:00,199.9579066140326,201.78143759879453,198.7263013564412,199.25140380859372,22588900
2020-08-14 00:00:00-04:00,199.30864542713067,200.10106995770388,198.1152376222854,199.4423065185547,17958900
2020-08-17 00:00:00-04:00,200.110650247621,201.62866165888727,199.46142874953955,200.7598571777344,20184800
2020-08-18 00:00:00-04:00,200.9985259260372,202.7456767958263,199.73829479069403,201.91506958007807,21336200
2020-08-19 00:00:00-04:00,202.4031166596223,202.986907957048,200.25935534052897,200.6900177001953,27627600
2020-08-20 00:00:00-04:00,200.53693686471104,205.7623499445164,199.9340152578286,205.3603973388672,26981500
2020-08-21 00:00:00-04:00,204.6713675107207,206.9586790324315,203.70476807042115,203.86746215820312,36249300
2020-08-24 00:00:00-04:00,205.56141132380648,206.26005694661063,203.3028095669609,204.50868225097656,25460100
2020-08-25 00:00:00-04:00,203.9440490347778,207.30323472840104,203.9440490347778,207.16925048828125,23043700
2020-08-26 00:00:00-04:00,208.5186105709494,212.5477162669981,208.0209487114188,211.64810180664065,39600800
2020-08-27 00:00:00-04:00,213.3133594614025,221.2184569633577,209.97330473340136,216.8448181152344,57602200
2020-08-28 00:00:00-04:00,218.3760615356364,220.7303721446688,216.8448155439647,219.07470703125,26292900
2020-08-31 00:00:00-04:00,217.24676147372583,218.8737166786634,214.67233716204333,215.8399200439453,28774200
2020-09-01 00:00:00-04:00,215.8207982855621,217.67744715159515,214.7871994961256,217.50518798828125,25725500
2020-09-02 00:00:00-04:00,218.17509671666676,222.85499356304223,217.58174016127816,221.6969757080078,34080800
2020-09-03 00:00:00-04:00,219.4192157670536,219.4574907062767,205.7240599096668,207.9635162353516,58400300
2020-09-04 00:00:00-04:00,205.8580864472782,208.97801304868847,196.3738729062261,205.0446014404297,59664100
2020-09-08 00:00:00-04:00,197.62755281283188,201.0058822083996,193.51230302974903,193.9525451660156,52924300
2020-09-09 00:00:00-04:00,198.68028735290457,205.60920497288092,197.81894789080067,202.21173095703125,45679000
2020-09-10 00:00:00-04:00,204.23107978329364,205.5135166302449,195.34023904162615,196.5460968017578,35461500
