date,actual_return,actual_direction
2021-01-29 00:00:00-05:00,0.0148033364897726,1
2021-02-01 00:00:00-05:00,0.0002210361957581,1
2021-02-02 00:00:00-05:00,0.0039778383348679,1
2021-02-03 00:00:00-05:00,0.0092092533724853,1
2021-02-04 00:00:00-05:00,-0.0096104586618663,-1
2021-02-05 00:00:00-05:00,0.0043373585768446,1
2021-02-08 00:00:00-05:00,-0.0010245722602256,-1
2021-02-09 00:00:00-05:00,-0.0042497849751793,-1
2021-02-10 00:00:00-05:00,-0.0114053943405549,-1
2021-02-11 00:00:00-05:00,0.0084850578024067,1
2021-02-12 00:00:00-05:00,-0.0312937019035876,-1
2021-02-16 00:00:00-05:00,-0.015619043948046,-1
2021-02-17 00:00:00-05:00,0.0080497964822351,1
2021-02-18 00:00:00-05:00,-0.0171224014284652,-1
2021-02-19 00:00:00-05:00,-0.0332004403841831,-1
2021-02-22 00:00:00-05:00,0.0095344977093264,1
2021-02-23 00:00:00-05:00,-0.0020810183227852,-1
2021-02-24 00:00:00-05:00,-0.0167628786001263,-1
2021-02-25 00:00:00-05:00,0.0094624723594994,1
2021-02-26 00:00:00-05:00,0.0376566214342061,1
2021-03-01 00:00:00-05:00,-0.0280353284761835,-1
2021-03-02 00:00:00-05:00,-0.0245172958246996,-1
2021-03-03 00:00:00-05:00,-0.0063243553751544,-1
2021-03-04 00:00:00-05:00,-0.0004131362556349,-1
2021-03-05 00:00:00-05:00,-0.0157117827594777,-1
2021-03-08 00:00:00-05:00,0.0223474873050254,1
2021-03-09 00:00:00-05:00,0.006984895422375,1
2021-03-10 00:00:00-05:00,-0.0174637920325826,-1
2021-03-11 00:00:00-05:00,0.0083887502877247,1
2021-03-12 00:00:00-05:00,0.0353347998569325,1
2021-03-15 00:00:00-04:00,-0.013126448192375,-1
2021-03-16 00:00:00-04:00,-0.0094318211268881,-1
2021-03-17 00:00:00-04:00,-0.0242510811882589,-1
2021-03-18 00:00:00-04:00,0.0035860408990311,1
2021-03-19 00:00:00-04:00,0.0249316567344482,1
2021-03-22 00:00:00-04:00,-0.0041354616901634,-1
2021-03-23 00:00:00-04:00,-0.0267055167813408,-1
2021-03-24 00:00:00-04:00,0.0067759008795497,1
2021-03-25 00:00:00-04:00,0.0108019851268705,1
2021-03-26 00:00:00-04:00,-0.0126594413610755,-1
