model,directional_accuracy,coverage,buy_precision,buy_recall,sell_precision,sell_recall,avg_confidence,total_return,sharpe_ratio,max_drawdown,win_rate
XGBoost,0.49333333333333335,1.0,0.5204301075268817,0.5537757437070938,0.4583333333333333,0.4252577319587629,0.22913974783637306,-0.7601661546109093,-1.4058871773984922,0.7673647470776049,0.4290909090909091
LightGBM,0.5212121212121212,1.0,0.5336538461538461,0.7620137299771167,0.48258706467661694,0.25,0.12054123438802075,-0.3425380192483515,-0.31509951313702633,0.4938744261181545,0.4509090909090909
Sentiment,0.5296969696969697,1.0,0.5296969696969697,1.0,0.0,0.0,1.0,0.005427557785007586,0.14629565879890036,0.35819011672269985,0.4763636363636364
RuleBased,0.49818181818181817,1.0,0.517557251908397,0.7757437070938215,0.4235294117647059,0.18556701030927836,0.5,-0.6394700012800641,-0.9703718310517119,0.6804557665908431,0.4254545454545455
